"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Jan 16 23:01:08 UTC 2025","Thu Jan 16 23:01:10 UTC 2025","1962","tests","test_login_page","TestLogin","","","Тест успешной авторизации",""
"passed","Thu Jan 16 23:00:52 UTC 2025","Thu Jan 16 23:00:52 UTC 2025","461","tests.api_testing","test_json_placeholder","","","","test_update_post",""
"failed","Thu Jan 16 23:00:51 UTC 2025","Thu Jan 16 23:00:52 UTC 2025","559","tests.api_testing","test_json_placeholder","","","","test_delete_post",""
"passed","Thu Jan 16 23:00:51 UTC 2025","Thu Jan 16 23:00:52 UTC 2025","230","tests.api_testing","test_json_placeholder","","","","test_get_posts",""
"failed","Thu Jan 16 23:00:57 UTC 2025","Thu Jan 16 23:00:58 UTC 2025","1778","tests","test_login_page","TestLogin","","","Тест успешной авторизации",""
"passed","Thu Jan 16 23:00:52 UTC 2025","Thu Jan 16 23:00:52 UTC 2025","1","tests.db_testing","test_db","TestDatabase","","","test_user_by_id",""
"passed","Thu Jan 16 23:00:52 UTC 2025","Thu Jan 16 23:00:52 UTC 2025","149","tests.api_testing","test_json_placeholder","","","","test_get_post_by_id",""
"passed","Thu Jan 16 23:01:01 UTC 2025","Thu Jan 16 23:01:02 UTC 2025","1484","tests","test_login_page","TestLogin","","","Тест неуспешной авторизации",""
"passed","Thu Jan 16 23:00:51 UTC 2025","Thu Jan 16 23:00:52 UTC 2025","251","tests.api_testing","test_json_placeholder","","","","test_create_post",""
"passed","Thu Jan 16 23:01:06 UTC 2025","Thu Jan 16 23:01:08 UTC 2025","1483","tests","test_login_page","TestLogin","","","Тест неуспешной авторизации",""
"passed","Thu Jan 16 23:00:59 UTC 2025","Thu Jan 16 23:01:00 UTC 2025","1247","tests","test_login_page","TestLogin","","","Тест неуспешной авторизации",""
"passed","Thu Jan 16 23:00:55 UTC 2025","Thu Jan 16 23:00:57 UTC 2025","1419","tests","test_login_page","TestLogin","","","Тест неуспешной авторизации",""
"passed","Thu Jan 16 23:00:51 UTC 2025","Thu Jan 16 23:00:51 UTC 2025","1","tests.db_testing","test_db","TestDatabase","","","test_all_users",""
